B471	1204: The Unholy Crusade	John Godfrey		Oxford
B472	Akenfield	Ronald Blythe		
B473	The Golden Door: The United States from 1865 to 1918	Isaac Asimov	1977	Houghton Mifflin / edition uncertain
B474	Sam Johnson's Boy: A Close-Up of the President from Texas	Alfred Steinberg	1968	Macmillan
B475	James Fenimore Cooper: Pages & Pictures	Editor/author uncertain		Castle Books
B476	The History Today Companion to British History	Juliet Gardiner; Neil Wenborn (editors)	1995	Collins & Brown
B477	Essays in English History	A. J. P. Taylor		
B478	The Story of London's Great Fire	Walter George Bell	1929	
B479	The Glory That Was Greece	J. C. Stobart		Sidgwick & Jackson
B480	London's Underworld	Henry Mayhew; Peter Quennell (editor)		Spring Books / edition uncertain
B481	Toulouse-Lautrec	Matthias Arnold		Taschen
B482	Larousse Encyclopedia of Geography: Europe	Pierre Deffontaines (general editor)	1961	Paul Hamlyn
B483	Exploring the Reef	Robert P. L. Straughan	1974	Kay & Ward / edition uncertain
B484	Saving the Animals	Bernard Stonehouse		Weidenfeld & Nicolson
B485	Atlas of Wildlife	Jacqueline Nayman		Heinemann
B486	Atlas of Man	John Gaisford (editor)	1978	Marshall Cavendish
B487	All Colour Book of Butterflies	Robert Goodden	1987	Galley Press
B488	The Life of Birds	Maurice Burton	1972	Macdonald and Co.
B489	Birdwatching: The 26 Finest Sites in Great Britain and Europe	Angelo Gandolfi		
B490	Philip's Atlas of Exploration	John Hemming (foreword)	1996	George Philip
B491	Battles of the American Civil War	C. Johnson; M. McLaughlin		
B492	Encyclopaedia of Animals	Author/editor uncertain		
B493	Wild Flowers of Central Saudi Arabia	Betty A. Lipscombe Vincett	1977	
B494	Chronicles of the Crusades	Elizabeth M. Hallam (general editor)	1996	Bramley Books
B495	Touring Britain & Ireland	AA editors		AA
B496	Exploring Britain's Long Distance Paths	AA editors		AA
B497	3 Books in One: Classic Real Life Stories	Myrna Grant; Elias Chacour with David Hazard; John Goodfellow with Andy Butcher		
B498	The Iliad	Homer; translated by Robert Fagles; introduction by Bernard Knox		
B499	The New Oxford Dictionary of Quotations	Oxford editors		Oxford
B500	Dictionary of Classical Mythology	Jenny March		Cassell
B501	Mythology	Author/editor uncertain		
B502	The Kingdom	Robert Lacey		Hutchinson
B503	Civilisation	Kenneth Clark		BBC / John Murray
B504	The Cambridge Illustrated History of the Islamic World	Francis Robinson (editor)		Cambridge University Press
B505	Greece and the Hellenistic World	John Boardman; Jasper Griffin; Oswyn Murray (editors)		Oxford
B506	Kota Mama: From the Andes to the Atlantic	John Blashford-Snell; Richard Snailham	2001	Headline
B507	East and West	Chris Patten		Macmillan
B508	Passion and Cunning: Essays on Nationalism, Terrorism and Revolution	Conor Cruise O'Brien	1989	Simon & Schuster
B509	Anthony Blunt: His Lives	Miranda Carter		Macmillan
B510	The Six Wives of Henry VIII	Antonia Fraser		Weidenfeld & Nicolson
B511	The Ascent of Man	J. Bronowski		
B512	Long Walk to Freedom, Volume 2: 1962–1994	Nelson Mandela		Abacus
B513	My Early Life	Winston S. Churchill		
B514	Sir Francis Drake	George Malcolm Thomson		
B515	The Nature of Alexander	Mary Renault		Penguin
B516	Jan Christian Smuts: A Biography	J. C. Smuts	1952	Cassell
B517	Clem Attlee	Francis Beckett		Richard Cohen Books
B518	Sailing	Edward Heath		
B519	Music	Edward Heath		
B520	Travels	Edward Heath		
B521	People, Places, People and Things	Author/editor uncertain		Grosvenor
B522	Charles Darwin	John Chancellor		Book Club Associates
B523	An Artist's Life, Volume I	Sir Alfred Munnings		Museum Press
B524	Cromwell: Our Chief of Men	Antonia Fraser		
B525	Just Law	Helena Kennedy		
B526	As It Seemed to Me	John Cole		Weidenfeld & Nicolson
B527	Byzantium: The Empire of New Rome	Cyril Mango		Scribners / edition uncertain
B528	Israel	Martin Gilbert		Black Swan
B529	Hanan Ashrawi: A Passion for Peace	Barbara Victor	1995	Fourth Estate
B530	An Evil Cradling	Brian Keenan		
B531	War and Peace	Leo Tolstoy		
B532	Revolution Day: The Human Story of the Battle for Iraq	Rageh Omaar		
B533	Dark Shadows Falling	Joe Simpson		
B534	Himalaya	Michael Palin		Weidenfeld & Nicolson
B535	Sahara	Michael Palin		Weidenfeld & Nicolson
B536	Pity the Nation: Lebanon at War	Robert Fisk		Oxford
B537	The Road to Serfdom	F. A. Hayek		Routledge
B538	One Palestine, Complete	Tom Segev		
B539	The Making of Mankind	Richard E. Leakey		
B540	The Odyssey	Homer; translated by Robert Fagles; introduction by Bernard Knox		
B541	The Dream of Reason	Anthony Gottlieb		
B542	Northern Ireland Since 1945	Sabine Wichert	1991	Longman
B543	Tigers and Butterflies: Selected Writings on Politics, Culture and Society	Han Suyin	1990	Earthscan
B544	Four Great Cornish Novels	Daphne du Maurier		
B545	Hero: The Life and Legend of Lawrence of Arabia	Michael Korda		Harper
B546	Tibet's Secret Mountain	Chris Bonington; Charles Clarke		
B547	The Half-Closed Door	Alan Tritton		Book Guild
B548	Newnes Motorists' Touring Maps and Gazetteer	Newnes editors		Newnes
B549	You Kant Make It Up!	Gary Hayden		Oneworld
B550	Insurrection	Robyn Young		Hodder & Stoughton
B551	How to Live Forever and 34 Other Really Interesting Uses of Science	Alok Jha		Quercus
B552	Think Yourself British	Al Murray		Hodder & Stoughton
B553	Annapurna	Maurice Herzog		
B554	The Crossing of Antarctica	Sir Vivian Fuchs; Sir Edmund Hillary	1958	Cassell
B555	Nothing Venture, Nothing Win	Edmund Hillary		
