B556	Edward Wilson of the Antarctic	George Seaver		John Murray
B557	Alone	Richard E. Byrd	1938	
B558	South: The Story of Shackleton's Last Expedition, 1914–1917	Ernest Shackleton	1919	Heinemann / edition uncertain
B559	To the Top of the World	Charles Kuralt		Hutchinson
B560	Mountain Prospect	Scott Russell	1946	
B561	Upon That Mountain	Eric Shipton		Hodder & Stoughton
B562	Playfair Cricket Annual 1990	Playfair editors	1990	Macdonald Queen Anne Press
B563	It's Been a Lot of Fun	Brian Johnston		
B564	A Book of Hockey for Schools	Ian Hayward; J. H. G.-W. Green	1955	
B565	The Oxford Book of American Short Stories	Joyce Carol Oates (editor)		Oxford
B566	Rudyard Kipling Omnibus	Rudyard Kipling		Heinemann / Octopus
B567	Sherlock Holmes	Sir Arthur Conan Doyle		Secker & Warburg
B568	The Works of Robert Louis Stevenson	Robert Louis Stevenson		Gallery Books
B569	Chambers Will Never Be the Same	Christopher Martin-Jenkins; Pat Gibson (editors)		Reed / edition uncertain
B570	Hockey Practice and Tactics	D. S. Milford		Edward Arnold
B571	The King's England: Leicestershire and Rutland	Arthur Mee		Hodder & Stoughton
B572	E. M. Forster Omnibus	E. M. Forster		Heinemann / Octopus
B573	Flashman at the Charge / Flashman in the Great Game	George MacDonald Fraser		
B574	Cricket Practice & Tactics	R. W. Hone		
B575	Autumn Gold	Chris Moore		
B576	The Book of Hockey: A Miscellany of Hockey Writings	Patrick Rowley (editor); David Wiggins; Brian Lewis	1964	Macdonald
B577	Duel in the Sun	Chris Moore		
B578	The Romance of Hockey's History	M. K. Howells	1996	M. K. Howells
B579	Arlott on Wine	John Arlott; David Rayvern Allen (editor)		
B580	All That Glitters	John Gapper; Nicholas Denton		
B581	Indictment	David Morrell		
B582	Nightmare on Lime Street: Whatever Happened to Lloyd's of London?	Cathy Gunn		
B583	Lloyd's: A View of the Room	Ian Hay Davison		Weidenfeld & Nicolson
B584	Towers of Debt: The Rise and Fall of the Reichmanns	Peter Foster	1993	
B585	Rogue Trader	Nick Leeson		
B586	Mega-Merger Mayhem	S. J. Craig; M. C. McDermott		
B587	Accounting for Life	Lord Benson, CBE, FCA		Kogan Page
B588	The Hundredth Year	Leon Hopkins	1980	
B589	Nightmare: Ernest Saunders and the Guinness Affair	James Saunders	1988	Arrow Books
B590	Slater Walker	Charles Raw		
B591	To the Ends of the Earth: The Transglobe Expedition	Ranulph Fiennes		Priam Books / edition uncertain
B592	Shackleton	Margery Fisher; James Fisher		Barrie
B593	Nick Danziger's Travels	Nick Danziger		Grafton
B594	Kingdom of the Ice Bear: A Portrait of the Arctic	Hugh Miles; Mike Salisbury	1985	BBC
B595	Crossing Antarctica	Will Steger; Jon Bowermaster		Knopf
B596	Icebound in Antarctica	David Lewis; Mimi George	1987	Secker & Warburg
B597	The North-West Passage	George Malcolm Thomson		Secker & Warburg
B598	Antarctic Night	Jack Bursey		Longmans
B599	Everest 1933	Hugh Ruttledge		Hodder & Stoughton
B600	The Kangchenjunga Adventure	F. S. Smythe		Hodder & Stoughton
B601	Collins Gem Gazetteer	Collins editors		Collins
B602	Camp Six	F. S. Smythe		Hodder & Stoughton
B603	The Ascent of Everest	John Hunt		Hodder & Stoughton
B604	South Col	Wilfrid Noyce		Heinemann
B605	Kamet Conquered	F. S. Smythe		Hodder & Stoughton
B606	Scott's Last Expedition: The Journals	Robert Falcon Scott		
B607	Man of Everest	James Ramsey Ullman		
B608	High Adventure	Edmund Hillary		
B609	Nanda Devi	Eric Shipton		Hodder & Stoughton
B610	After Everest	T. Howard Somervell		Hodder & Stoughton
B611	Mount Everest Reconnaissance Expedition 1951	Eric Shipton		Hodder & Stoughton
B612	The Picture of Everest	Alfred Gregory	1954	Hodder & Stoughton
B613	Quest for Adventure	Chris Bonington	1982	
B614	Everest the Hard Way	Chris Bonington	1977	Arrow Books / edition uncertain
B615	The Flight of the Condor	Michael Andrews	1981	
B616	Mont Blanc: An Anthology	Claire Eliane Engel	1965	George Allen & Unwin
B617	Sledge: The British Trans-Greenland Expedition, 1934	Martin Lindsay		Cassell
B618	Over Tyrolese Hills	F. S. Smythe		Hodder & Stoughton
B619	The Spirit of the Hills	F. S. Smythe		Hodder & Stoughton
B620	A History of Economic Thought	Eric Roll		Faber
B621	A Textbook of Economic Theory	Alfred W. Stonier; Douglas C. Hague		Longman
B622	True and Fair: A History of Price Waterhouse	Edgar Jones	1995	Hamish Hamilton
B623	The Underwriter's Bedside Book	Jonathan S. Ignarski (editor)	1987	LLP
B624	Yes, Prime Minister	Jonathan Lynn; Antony Jay		BBC / edition uncertain
B625	The Complete Yes, Minister	Jonathan Lynn; Antony Jay		BBC
B626	Lombard Street	Walter Bagehot		
B627	What Is Profit?	Institute of Chartered Accountants in England and Wales	1971	ICAEW
B628	It's All Done by Numbers	D. St. P. Barnard	1966	Baker
B629	The Winning Streak: Britain's Top Companies Reveal Their Formulas for Success	Walter Goldsmith; David Clutterbuck	1984	Weidenfeld & Nicolson
B630	The Tax Dodgers	Elmer L. Irey; William J. Slocum	1949	Fireside Press / edition uncertain
B631	The Law of Delay	C. Northcote Parkinson		John Murray
B632	In-Laws & Outlaws	C. Northcote Parkinson		John Murray
B633	Parkinson's Law	C. Northcote Parkinson	1958	John Murray
B634	The Law and the Profits	C. Northcote Parkinson	1963	John Murray
B635	That's the Way the Money Goes	John Plender		André Deutsch
B636	Management and Machiavelli	Antony Jay	1967	
B637	Unaccountable Accounting	Abraham J. Briloff	1972	
B638	The Japanese Miracle and Peril	Willard Price	1971	
B639	Economic Analysis	Kenneth E. Boulding		
B640	The New Anatomy of Britain	Anthony Sampson		
