B301	Chaucer: The Pardoner's Prologue & Tale	Geoffrey Chaucer; A. C. Spearing (editor)		Cambridge
B302	Stained Glass in Canterbury Cathedral	Author/editor uncertain		
B303	The Turin Shroud	Ian Wilson		Collins
B304	Paul the Traveller	Ernle Bradford		
B305	The Book of Revelation	J. B. Phillips (translator)		Bles
B306	New British Glass & Vitrail Français Contemporain 1982	Editor uncertain	1982	
B307	Stained Glass in England 1180–1540	RCHM England editors		HMSO
B308	A Calendar of Saints	Author uncertain		Vincent
B309	Illustrated Guide to Glass	Editor uncertain		Peerage Books
B310	The Coming of Christianity to Anglo-Saxon England	Henry Mayr-Harting		
B311	The Grain of Wheat	Frank Longford		
B312	Naught for Your Comfort	Trevor Huddleston		Collins
B313	Pornography: The Longford Report	Longford Report committee / editor uncertain		
B314	Discovering Stained Glass	Harries (first name uncertain)		
B315	Constantine and the Conversion of Europe	A. H. M. Jones		
B316	The Little Flowers of Saint Francis	Author/editor uncertain		
B317	Cry, the Beloved Country	Alan Paton		
B318	God of New Beginnings	Roger Sainsbury		
B319	A Different Kind of Church	Peter Watherston		
B320	The Aston Story	Evelyn Ray Keen		
B321	An Ecumenical Pilgrimage	Paul Rowntree Clifford		
B322	The Gospel According to Peanuts	Robert L. Short		
B323	The Problem of Pain	C. S. Lewis		
B324	Surprised by Joy	C. S. Lewis		
B325	The Screwtape Letters	C. S. Lewis		
B326	The Individual and the Universe	A. C. B. Lovell		Oxford
B327	Jesus Rediscovered	Malcolm Muggeridge		
B328	The Diary of a Country Priest	Georges Bernanos		
B329	Gutter Feelings	Pip Wilson		
B330	First Steps in Prayer	Denis Lant		Carey Kingsgate Press
B331	The Great Divorce	C. S. Lewis		Bles
B332	Till We Have Faces	C. S. Lewis		Bles
B333	Reflections on the Psalms	C. S. Lewis		Bles
B334	Blue Heaven	Rabbi Lionel Blue		Hodder & Stoughton
B335	Salt in the Air	Margaret Hillyer		
B336	St. Francis of Assisi	G. K. Chesterton		
B337	Priestland's Progress	Gerald Priestland		BBC
B338	The Recovery of Belief	C. E. M. Joad		Faber and Faber
B339	Prayers of Life	Michel Quoist		Gill
B340	The Young Church in Action	Author uncertain		Bles
B341	Letters to Young Churches	J. B. Phillips		Geoffrey Bles
B342	In Darkest England and the Way Out	General William Booth		
B343	Every-Day Life in Old Testament Times	E. W. Heaton; illustrated by Marjorie Quennell		
B344	The Gospels in Modern English	J. B. Phillips		
B345	The Oxford Companion to the Bible	Bruce M. Metzger; Michael D. Coogan (editors)		Oxford
B346	The Discipline of Law	Lord Denning		
B347	Chambers Biographical Dictionary	Magnus Magnusson (editor)		Chambers
B348	Tell Them I'm On My Way	Arnold Goodman		Chapmans
B349	Maxwell	Joe Haines		Macdonald
B350	People and Parliament	Nigel Nicolson	1958	Weidenfeld & Nicolson
B351	A Soldier's Way: An Autobiography	Colin Powell; Joseph E. Persico		
B352	Richard Burton	David Jenkins		Century
B353	Wainwright: The Biography	Hunter Davies		Michael Joseph
B354	Particular Pleasures	J. B. Priestley		Heinemann
B355	Memoir	Conor Cruise O'Brien		
B356	Marlborough	Correlli Barnett		
B357	The Story of San Michele	Axel Munthe		
B358	The Governance of Britain	Harold Wilson		Weidenfeld & Nicolson / Michael Joseph
B359	Christian England: Its Story to the Reformation	David L. Edwards		Collins
B360	Something Understood	Gerald Priestland		Andre Deutsch
B361	The Pilgrim's Progress	John Bunyan		Gaythorn
B362	On the Edge of the Primeval Forest	Albert Schweitzer		A. & C. Black / edition uncertain
B363	The Christians	Bamber Gascoigne		
B364	Albert Schweitzer: The Man and His Mind	George Seaver		A. & C. Black
B365	Travels with a Donkey in the Cévennes	Robert Louis Stevenson		
B366	Alice's Adventures in Wonderland and Through the Looking-Glass	Lewis Carroll		Regent Classics
B367	Journeys in Wonderland	Lewis Carroll; John Tenniel		Gallery Press
B368	The Lantern-Bearers: Essays	Robert Louis Stevenson		
B369	The Innocents Abroad	Mark Twain		
B370	Chicken Inspector No. 23	S. J. Perelman		
B371	The Gulag Archipelago, Volume 1	Aleksandr Solzhenitsyn		Collins
B372	The Gulag Archipelago, Volume 2	Aleksandr Solzhenitsyn		Collins
B373	Kidnapped	Robert Louis Stevenson		Regent Classics
B374	The Third Book of Humorous Stories	Introduced by Ronnie Barker	1988	St Michael / Octopus
B375	The Adventures of Don Quixote, Man of La Mancha	Miguel de Cervantes		Grosset & Dunlap
B376	Quaint Tales and Comedies	H. G. Wells		Benn
B377	As If	Blake Morrison		Granta
B378	The Nude: A Study of Ideal Art	Kenneth Clark	1960	Pelican / Penguin
B379	Memories and Vagaries	Axel Munthe		John Murray
B380	The Bridge of San Luis Rey	Thornton Wilder		Longmans
B381	Images and Shadows	Iris Origo		
B382	The Leisure of an Egyptian Official	Lord Edward Cecil		
B383	Head in Green Bronze and Other Stories	Hugh Walpole		Macmillan
B384	The French Lieutenant's Woman	John Fowles		
B385	The Good Companions	J. B. Priestley		Heinemann
