B641	London: A Private View	Geoffrey Fletcher		Cassell
B642	Ordnance Survey Leisure Guide: Days Out from London	Ordnance Survey editors		Ordnance Survey
B643	London Town Past and Present, Volume 1	W. W. Hutchings		Cassell
B644	London Town Past and Present, Volume 2	W. W. Hutchings		Cassell
B645	The Dictionary of Opera	Charles Osborne		Macdonald
B646	The Record Guide	Edward Sackville-West; Desmond Shawe-Taylor		Collins
B647	The Musical Companion	A. L. Bacharach; J. R. Pearce (editors)		
B648	Dance Drama Music: 100 Years of the Juilliard School	Juilliard School editors		Africourt Publication / edition uncertain
B649	The Scottish Students' Song Book	Editor uncertain		
B650	Daily Express Community Song Book	Daily Express editors		Daily Express
B651	Magellan	Ian Cameron		
B652	The Complete British Butterflies in Colour	E. Mansell; L. Hugh Newman		
B653	A Book of Beetles	Author/editor uncertain		Spring Books
B654	Rocks, Minerals & Gemstones	Author/editor uncertain		Hamlyn
B655	The Cambridge Guide to Literature in English	Ian Ousby		Cambridge University Press
B656	The Oxford Dictionary of Humorous Quotations	Ned Sherrin (editor)		Oxford
B657	Oxford Reference English Dictionary	Editor uncertain		Oxford
B658	Gilbert Heath	Antony Brown		
B659	Waters of Britain	Michael Marriott		Black Cat / edition uncertain
B660	The Life of Birds	David Attenborough		BBC
B661	Woodland Walks	Gerald Wilkinson		
B662	Freshwater Fishes	Author/editor uncertain		Oxford / edition uncertain
B663	Walker's Britain	Author/editor uncertain		Pan / edition uncertain
B664	The Shell Book of Inland Waterways	Hugh McKnight		
B665	Badger Politics	Paul Rowntree Clifford		
B666	Essex Off the Beaten Track	Stan Jarvis; Robert Hallmann		
B667	Wild Animals	Author/editor uncertain		Collins Nature Guides
B668	Wildflowers of Meadows and Marshes	Author/editor uncertain		Hamlyn Colour Guides
B669	The National Trust Guide, Revised Edition	Robin Fedden; Rosemary Joekes (compilers/editors)		National Trust
B670	The Macmillan Guide to Britain's Nature Reserves	Author/editor uncertain		Macmillan
B671	Book of British Birds	Reader's Digest / AA editors		Reader's Digest / AA
B672	Wild Flowers	Author/editor uncertain		Magna Books
B673	Wild Flowers	Author/editor uncertain		
B674	Ancient Tracks	Des Hannigan; Simon McBride		Pavilion
B675	The Footpaths of Britain	Michael Marriott		Black Cat / edition uncertain
B676	The National Trust Atlas	Author/editor uncertain		The National Trust / edition uncertain
B677	The Dulwich Picture Gallery: A Catalogue	Peter Murray	1980	
B678	Historic Houses, Castles and Gardens of Great Britain and Ireland 1998	Johansens editors	1998	Condé Nast Johansens
B679	The Zoo Quest Expeditions	David Attenborough		
B680	The Shell Guide to England	John Hadfield (editor)		Michael Joseph / Rainbird
B681	Treasures of Britain	AA editors		AA
B682	The Past All Around Us	Reader's Digest editors		Reader's Digest
B683	The Shell Country Book	Author/editor uncertain		Shell / edition uncertain
B684	The Book of a Naturalist	W. H. Hudson		
B685	Company Image & Reality: A Critique of Corporate Communications	David Bernstein		
B686	25 Centuries of Sea Warfare	Jacques Mordal		
B687	The Book of the New Sun	Gene Wolfe		Gollancz
B688	Flowers for Algernon	Daniel Keyes		Gollancz
B689	Hyperion	Dan Simmons		Gollancz
B690	Do Androids Dream of Electric Sheep?	Philip K. Dick		Gollancz
B691	Eric	Terry Pratchett		Gollancz
B692	The Romance of Submarine Engineering	Thomas W. Corbin	1919	Seely, Service & Co.
B693	Nelson and His Captains: Sketches of Famous Seamen	W. H. Fitchett	1902	Smith, Elder & Co.
B694	The Golden Land: The True Story and Experiences of British Settlers in Canada	Arthur E. Copping	1911	
B695	The Story of the Crusades	E. M. Wilmot-Buxton		
B696	Foyle's Further Philavery: A Cornucopia of Lexical Delights	Christopher Foyle		Chambers
B697	Warnings of Gales	Annie Sanders	2005	Orion
B698	Summer at the Villa Rosa	Nicky Pellegrino		
B699	The Holiday	Erica James		
B700	Rosé en Marché	Jamie Ivey		
B701	One Summer	Rachel Billington	2006	Orion
B702	The Olive Farm	Carol Drinkwater		
B703	Italian Fever	Valerie Martin		
B704	The End of Sleep	Rowan Somerville		
B705	East of the Sun	Julia Gregson		
B706	Do Not Disturb	Tilly Bagshawe		
B707	East Anglia in Colour	Author/editor uncertain		Batsford
B708	Book of the Seaside	Author/editor uncertain		AA / edition uncertain
B709	The Great Tide: The Story of the 1953 Flood Disaster in Essex	Hilda E. P. Grieve	1959	Essex County Council
B710	Cassino: Portrait of a Battle	Fred Majdalany		Longmans
B711	A White Boat from England	George Millar		Heinemann
B712	Fireside Talks about Brentwood	John Larkin		
B713	The Oxford Book of Trees	B. E. Nicholson; A. R. Clapham		Oxford
B714	The Building of England	Author uncertain		
B715	The Voyage of the Discovery, Volume I	Robert Falcon Scott		
B716	Highways & Byways in Essex	Clifford Bax		
B717	Mountain Flowers	Author/editor uncertain		
B718	The Mutiny on Board H.M.S. Bounty	William Bligh		
B719	Nelson	Arthur Bryant		
B720	Essex	Marcus Crouch		Batsford
B721	The County Books: Essex	C. Henry Warren		
B722	The King's England: Essex	Arthur Mee		Hodder & Stoughton
B723	The Romance of Essex Inns	Glyn H. Morgan		LPL
B724	Estuary	A. K. Astbury		
B725	The History of a Little Town	Walker (first name uncertain)		
